factor,horizon,quintile,sample_count,avg_forward_return,median_forward_return,win_rate,avg_forward_drawdown,drawdown_hit_rate_3pct
above50_deterioration_10d,20,1,412,0.019833461598013115,0.025060428021216885,0.7233009708737864,0.018837967703786134,0.22572815533980584
above50_deterioration_10d,20,2,411,0.014479416463694477,0.019731539065036108,0.6399026763990268,0.022156510558709687,0.29927007299270075
above50_deterioration_10d,20,3,412,0.01120817757089915,0.014617257228548897,0.6310679611650486,0.024523894912066784,0.3446601941747573
above50_deterioration_10d,20,4,412,0.014021409762194334,0.016652058667358194,0.6237864077669902,0.024975230744279462,0.3616504854368932
above50_deterioration_10d,20,5,411,0.0057301962778124075,0.009397698142648014,0.5985401459854015,0.03745460662380742,0.38686131386861317
above50_deterioration_20d,1,1,414,0.0013536311602955723,0.0019382335380431215,0.6038647342995169,0.0023044750063572024,0.004830917874396135
above50_deterioration_20d,1,2,413,0.0008278966165591546,0.0013178067866339571,0.5956416464891041,0.0024879351614624807,0.004842615012106538
above50_deterioration_20d,1,3,413,0.0006689846129780704,0.0017129730267277932,0.5835351089588378,0.0025053585428094225,0.002421307506053269
above50_deterioration_20d,1,4,413,0.00027744095123406656,0.0011121692870308397,0.5447941888619855,0.003216568642227709,0.007263922518159807
above50_deterioration_20d,1,5,414,5.586447024656948e-05,0.001052849973058878,0.5507246376811594,0.004835394625917785,0.021739130434782608
above50_deterioration_20d,5,1,413,0.0057075837788845216,0.007276025082424864,0.6537530266343826,0.007927882126778646,0.06779661016949153
above50_deterioration_20d,5,2,412,0.004247784860045741,0.0036393281947729728,0.5849514563106796,0.008934119159496105,0.06553398058252427
above50_deterioration_20d,5,3,413,0.0019230128808077117,0.002808367478023488,0.576271186440678,0.009517290129409281,0.0847457627118644
above50_deterioration_20d,5,4,412,0.0021443816519175537,0.003421055726288147,0.5655339805825242,0.01191550623025086,0.1383495145631068
above50_deterioration_20d,5,5,413,0.0021394886142258812,0.003721683720079305,0.5690072639225182,0.015598734314651915,0.15738498789346247
above50_deterioration_20d,10,1,412,0.009978494610913461,0.01195592013545177,0.6723300970873787,0.013013630591757452,0.13592233009708737
above50_deterioration_20d,10,2,411,0.009141239256332702,0.010129809934283474,0.6472019464720195,0.013346987279803659,0.1435523114355231
above50_deterioration_20d,10,3,412,0.00431142621723457,0.005442964495290692,0.6019417475728155,0.015268791586961632,0.18932038834951456
above50_deterioration_20d,10,4,411,0.005261218699051708,0.007404546295155079,0.5912408759124088,0.01813609785163639,0.27007299270072993
above50_deterioration_20d,10,5,412,0.004096785379309848,0.00435642997236485,0.5703883495145631,0.024869015479982937,0.25970873786407767
above50_deterioration_20d,20,1,410,0.019643453243030094,0.029045202108612167,0.7390243902439024,0.02014046120707127,0.22926829268292684
above50_deterioration_20d,20,2,409,0.013545589972928969,0.009525565211389253,0.6014669926650367,0.020860183746114723,0.2885085574572127
above50_deterioration_20d,20,3,410,0.009572991412958885,0.010387352067486866,0.5902439024390244,0.02450391605298569,0.33902439024390246
above50_deterioration_20d,20,4,409,0.012764832377517788,0.01812183930147504,0.6405867970660146,0.02489388800420662,0.3691931540342298
above50_deterioration_20d,20,5,410,0.01109240596546189,0.015587318037308728,0.6609756097560976,0.036675167817255556,0.375609756097561
new_lows_52w,1,1,1260,0.0011170185342086832,0.0018770399044879538,0.6055555555555555,0.0023390422822190215,0.003968253968253968
new_lows_52w,1,2,431,0.00032198900290538753,0.0008190419769251722,0.5568445475638051,0.00323828407446432,0.002320185614849188
new_lows_52w,1,3,396,-0.0005706915628624006,-1.3000081510172734e-06,0.5,0.005159701926042866,0.027777777777777776
new_lows_52w,5,1,1259,0.004176203804846703,0.004905672418089813,0.6171564733915806,0.008743031785225246,0.07307386814932486
new_lows_52w,5,2,430,0.0018089975491857684,0.0019336911670522205,0.541860465116279,0.011480071313159911,0.11627906976744186
new_lows_52w,5,3,394,0.0014364359297221537,0.004650967826692498,0.5482233502538071,0.016440896536377998,0.18274111675126903
new_lows_52w,10,1,1259,0.007754071142507263,0.009937442916005956,0.6370135027799841,0.01416449512448391,0.1699761715647339
new_lows_52w,10,2,429,0.005429920776202459,0.005237561048131001,0.5990675990675991,0.016745508668082294,0.20512820512820512
new_lows_52w,10,3,390,0.0028145298840950355,0.0034406606974418663,0.5564102564102564,0.026391999516425447,0.29743589743589743
new_lows_52w,20,1,1255,0.01627995715507984,0.02051949065888392,0.6701195219123506,0.02091487675042441,0.2900398406374502
new_lows_52w,20,2,427,0.005724663122002726,0.005795104399877404,0.5761124121779859,0.02754344495581909,0.3629976580796253
new_lows_52w,20,3,386,0.009560916648532659,0.017259938442718004,0.6191709844559585,0.03896785868549028,0.39896373056994816
net_new_lows_share,1,1,394,0.0013264758571446024,0.002363648128414164,0.6598984771573604,0.0018904176725350996,0.007614213197969543
net_new_lows_share,1,2,391,0.0009532669215613739,0.0019343562197418063,0.6010230179028133,0.0025354714176068906,0.0025575447570332483
