Date,Engine,Ticker,EntryPrice,Qty,Target,StopLoss,HoldDays,CMP,PnL,Status,ExitDate,ExitPrice,Days_Held,Flag,Action,Notes
29-04-2026,E1,ELECON,475,29,500.17,460.75,3,,522,CLOSED,29-04-2026,493,,,,
29-04-2026,E5,TANLA,548,8,555,488.4,10,514,-272,OPEN,,,,,,
24-04-2026,E1,UNIONBANK,176,89,185.33,170.72,3,,-1068,CLOSED,30-04-2026,164,,,,
04-05-2026,E3,HINDZINC,601,22,632.85,582.97,5,609,572,CLOSED,06-05-2026,627,,,,
04-05-2026,E1,NTPCGREEN,111,81,116.88,107.67,3,104,-567,CLOSED,10-04-1900,103,,,,
04-05-2026,E1,SCHAEFFLER,4170,3,4391.01,4044.9,3,4020,180,CLOSED,11-05-2026,4230,,,,
04-05-2026,E1,TATAPOWER,447,28,470.69,433.59,3,432,-756,CLOSED,12-05-2026,420,,,,
04-05-2026,E1,ANGELONE,307,33,323.27,297.79,3,315,462,CLOSED,07-05-2026,321,,,,
05-04-2026,E3,KRN,1229,11,1294.14,1192.13,5,1285,1023,CLOSED,07-05-2026,1322,,,,
22-04-2026,E5,KAPIL,1250,9,1286,1131.68,10,1275,585,CLOSED,2026-05-08\,1315,,,,
30-04-2026,E1,THERMAX,3950,3,4159.35,3831.5,3,,645,CLOSED,05-04-2026,4165,,,,
05-05-2026,E2,KPRMILL,963,18,963,963,10,950,990,CLOSED,03-06-2026,1018,,,,
04-05-2026,E3,ATLANTAELE,1685,7,1774.3,1634.45,5,,-735,CLOSED,05-04-2026,1580,,,,
