date,index_close,trend_regime,relative_leadership,participation_impulse,fwd_return_1d,fwd_return_5d,fwd_return_10d,fwd_return_20d,trend_regime_level,relative_leadership_level,participation_impulse_level,combo_label,market_state
2020-01-13,673.9976339285713,0.0721765265950528,0.3918544871570603,0.5743553824433988,0.0052082633026411,0.0147896873578208,0.0251093770398596,0.0415125053096376,MEDIUM,HIGH,HIGH,MEDIUM Trend + HIGH Leadership + HIGH Participation,Fog
2020-01-14,677.5079910714285,0.0815684124264929,0.4166405621146237,-1.0919949625908518,0.0057856460443701,0.0067958476240959,0.01726185491091,0.033992812024687,MEDIUM,HIGH,LOW,MEDIUM Trend + HIGH Leadership + LOW Participation,Fog
2020-01-15,681.4278125000001,0.0913314691954354,0.4037383194064373,0.1499199409391864,0.0035076690009414,-0.0003136140809383,0.0144708625527163,0.0319142126927156,HIGH,HIGH,MEDIUM,HIGH Trend + HIGH Leadership + MEDIUM Participation,Fog
2020-01-16,683.8180357142857,0.0928132782158654,0.4336119029562539,-0.0857183929867025,0.00279124746271,0.0023055292748359,0.0026149787654976,0.0313667535301398,HIGH,HIGH,MEDIUM,HIGH Trend + HIGH Leadership + MEDIUM Participation,Fog
2020-01-17,685.7267410714286,0.0995573964485557,0.4269596778788062,-0.1739222953144775,-0.0025679221061021,0.0068735730646558,-0.0030381609604877,0.020974098191836,HIGH,HIGH,MEDIUM,HIGH Trend + HIGH Leadership + MEDIUM Participation,Fog
2020-01-20,683.9658482142859,0.0904531267858654,0.3444406887911029,-0.4194571860653185,-0.0027101003306935,0.0101692890759541,-0.0019395156987203,0.0163870963952028,HIGH,MEDIUM,LOW,HIGH Trend + MEDIUM Leadership + LOW Participation,Fog
2020-01-21,682.1122321428572,0.0820692195445202,0.3328032540479006,-0.3032584776914396,-0.0013166821494736,0.0103953619907277,0.0120107486501028,0.0197451273008719,MEDIUM,MEDIUM,LOW,MEDIUM Trend + MEDIUM Leadership + LOW Participation,Mixed Terrain
2020-01-22,681.2141071428571,0.0781005340092811,0.3147367106512859,-0.1961130105652651,0.0061368239846977,0.0147891147082717,0.0173210960787189,0.0318660956973093,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2020-01-23,685.3945982142858,0.0900537717207137,0.4108530948391144,0.7022939695142538,0.0073615049307818,0.0003087376868862,0.0137736740416543,0.0266242614802381,HIGH,HIGH,HIGH,HIGH Trend + HIGH Leadership + HIGH Participation,Fog
2020-01-24,690.4401339285714,0.0962836150706836,0.4175259998149992,0.3404205884352314,0.000696889839743,-0.0098440700901255,0.0144887522898018,0.0062796382664549,HIGH,HIGH,HIGH,HIGH Trend + HIGH Leadership + HIGH Participation,Fog
2020-01-27,690.9212946428571,0.0930041406919079,0.356345076757303,-0.0885833159153091,-0.0024869097853752,-0.0119869064577787,0.0160013444781319,0.002820509391026,HIGH,HIGH,MEDIUM,HIGH Trend + HIGH Leadership + MEDIUM Participation,Fog
2020-01-28,689.2030357142856,0.0867704580076454,0.2771128355273411,-0.6520621143955533,0.0030261401820996,0.0015987668987238,0.0164470505140903,-0.0010286855651336,HIGH,MEDIUM,LOW,HIGH Trend + MEDIUM Leadership + LOW Participation,Fog
2020-01-29,691.2886607142857,0.0875460211787276,0.3543815092500633,0.0311323487093474,-0.0082200905064339,0.002495081326503,0.0171945304531533,-0.0078370067910178,HIGH,HIGH,MEDIUM,HIGH Trend + HIGH Leadership + MEDIUM Participation,Fog
2020-01-30,685.6062053571428,0.0708001151609808,0.1749584697269843,-0.2239103434904381,-0.0028628861358941,0.0134607805045314,0.0286767855792895,-0.0218682254540251,MEDIUM,MEDIUM,MEDIUM,MEDIUM Trend + MEDIUM Leadership + MEDIUM Participation,Mixed Terrain
2020-01-31,683.6433928571429,0.0616329701914513,0.1204940001457866,-0.1298194034442542,-0.0014687586442702,0.0245747378214886,0.0240854345793792,-0.0263504782542487,MEDIUM,LOW,MEDIUM,MEDIUM Trend + LOW Leadership + MEDIUM Participation,Mixed Terrain
2020-02-03,682.6392857142857,0.0380491576317894,0.1045060742879204,-0.600432203271156,0.011229393268773,0.0283278137899642,0.0183622259193572,-0.010478630734701,MEDIUM,LOW,LOW,MEDIUM Trend + LOW Leadership + LOW Participation,Mixed Terrain
2020-02-04,690.3049107142857,0.0598854788194748,0.2774406131325275,1.514497853832163,0.0039237319429885,0.0148245825634765,0.0076425854775612,-0.0354070373922495,MEDIUM,MEDIUM,HIGH,MEDIUM Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2020-02-05,693.0134821428572,0.0735062372350939,0.3109897756363303,0.5493592399109326,0.0026284017614066,0.0146628640882706,0.0142973537800938,-0.0354088272092214,MEDIUM,MEDIUM,HIGH,MEDIUM Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2020-02-06,694.835,0.0796113222147046,0.3273180541711888,0.3799347323867938,0.0080720602733024,0.0150139061791647,0.0126759924504173,-0.0410761059408759,MEDIUM,MEDIUM,HIGH,MEDIUM Trend + MEDIUM Leadership + HIGH Participation,Mixed Terrain
2020-02-07,700.4437500000001,0.0852068803164878,0.3140427713169784,-1.2505554108500254,0.0021889185044683,-0.0004775671544954,-0.0080918728816047,-0.0799583044931975,HIGH,MEDIUM,LOW,HIGH Trend + MEDIUM Leadership + LOW Participation,Fog
